Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,13,0.0,250.0,inf,0.0
P_aircraft,14,9315.3742694208,3750.0,14.377154106219148,1517.8137931063986
P_drone,10,41387.7102488928,14100.0,12.167172949242826,6743.565600694477
P_drone,11,23593.5555342336,8400.0,12.715336591159742,3844.2496224586102
P_drone,12,12085.2507333024,4500.0,13.298382405208827,1969.1275654237475
P_drone,13,0.0,1000.0,inf,0.0
P_drone,14,9315.3742694208,4500.0,17.252584927462976,1517.8137931063986
P_OGI,10,111931.744141584,49304.0,15.731525997038073,18237.75837995566
P_OGI,11,97822.9374156288,41104.0,15.006705367707177,15938.919832671116
P_OGI,12,90117.0677724768,41504.0,16.4484459040336,14683.352971482273
P_OGI,13,104638.36189927682,47904.0,16.350190425419562,17049.400741754245
P_OGI,14,83840.1559039296,43504.0,18.531863031059356,13660.615383421136
P_stationary,10,234178.3508971392,235950.0,35.98447799295976,38156.18361200726
P_stationary,11,219258.6469928928,228550.0,37.227722199091126,35725.2203763952
P_stationary,12,182527.1713782432,219750.0,42.99751224134608,29740.32500701859
P_stationary,13,201284.3922608448,230150.0,40.835967283995906,32796.55954494943
P_stationary,14,185420.6152013664,227150.0,43.75187727205976,30211.7724032581
P_truck,10,124591.0358642976,45300.0,12.985341454414785,20300.418132743784
P_truck,11,107648.8931173248,37500.0,12.441239993299776,17539.92593968757
P_truck,12,98168.38983855362,37900.0,13.788261484144677,15995.20661591916
P_truck,13,115056.68148288,44700.0,13.875148760188377,18746.92450275785
P_truck,14,92131.2389746656,39700.0,15.389537345167232,15011.53482912329
P_aircraft,15,40679.3762106336,14650.0,12.861905330237523,6628.152183873875
P_aircraft,16,16949.5166396448,8650.0,18.226394179642245,2761.693668776109
P_aircraft,17,11987.379956016,4350.0,12.96005828022287,1953.1808507334986
P_aircraft,18,0.0,250.0,inf,0.0
P_aircraft,19,22422.2347755072,9650.0,15.37058462697598,3653.3988039807264
P_drone,15,40679.3762106336,15400.0,13.520364647485177,6628.152183873875
P_drone,16,16949.5166396448,9400.0,19.806717374408915,2761.693668776109
P_drone,17,11987.379956016,5100.0,15.19455108715785,1953.1808507334986
P_drone,18,0.0,1000.0,inf,0.0
P_drone,19,22422.2347755072,10400.0,16.565189649797947,3653.3988039807264
P_OGI,15,110314.8656594496,48904.0,15.832602597398141,17974.309978315312
P_OGI,16,84624.01571344321,42904.0,18.106984186077785,13788.33469950348
P_OGI,17,99335.241657504,41704.0,14.993959309667181,16185.32928132059
P_OGI,18,100335.62379813122,44104.0,15.69873986443681,16348.327972248733
P_OGI,19,90731.1062558592,44504.0,17.51801159512403,14783.402207575271
P_stationary,15,218094.4764646272,235350.0,38.53998175061719,35535.53459091581
P_stationary,16,199678.2392155968,226750.0,40.55631859298636,32534.858707665862
P_stationary,17,212095.0886227488,226950.0,38.215675787165694,34558.01577597248
P_stationary,18,202679.1622118304,228950.0,40.343494738446445,33023.81837627365
P_stationary,19,210285.1500218784,229750.0,39.020145464401295,34263.11084852423
P_truck,15,120631.0689302976,46900.0,13.885311759674778,19655.195272251654
P_truck,16,92360.2743793152,39300.0,15.196700507916306,15048.853039453072
P_truck,17,109549.3286601792,37700.0,12.2906145377228,17849.57611545377
P_truck,18,113956.864417728,40900.0,12.818133362811672,18567.72424057823
P_truck,19,101325.2803525728,42100.0,14.839055202606708,16509.579074493817
