test1,test2,compressor_buildings,dehydrators,power_generators,tanks,separators,lineheater,level_controller,pressure_controller,pump,transducer,positioner,flange_thread,controller,meter_instru,OEL_vent_leak,PSV,pump_packing,regulator,thief_hatch,valve,cat_heater,tank_other,compressor,actuator,controller_vent,regulator_vent,pump_vent,meter_instru_vent
,,6.498677007,2.82571237,6.273572084,5.579267869,0.904752694,,0.032004102,0.069795474,0.161319916,,0.04356206,0.012566833,0.191380113,0.022844923,0.159688683,,,0.010344871,0.34742273,0.019204042,0.002586218,0.34742273,0.051724355,0.750003147,0.010344871,,0.044463051,0.095690057
,,11.61601479,2.621225626,6.285657751,11.12395755,6.270401736,,0.032004102,,0.161319916,,,0.049138137,0.018103524,0.005172435,0.046551919,,,0.016748839,0.34742273,0.019204042,0.002586218,0.34742273,0.095690057,0.002586218,0.002586218,,0.002586218,0.007758653
,,15.82905101,3.859487406,6.295085967,8.368491985,2.746331071,,0.031506629,,,,,0.012566833,0.025862177,0.038793266,0.051724355,,,0.012931089,0.34742273,0.019204042,0.002586218,0.34742273,0.031034613,0.002586218,0.012931089,,0.044463051,0.10344871
,,5.203983483,1.756731457,6.257534021,3.579049007,4.517430938,,0.031506629,,,,,0.005172435,0.025862177,0.002586218,0.349139396,,,0.002586218,0.34742273,0.005172435,0.002586218,0.34742273,0.018103524,0.007758653,0.879314035,,0.044463051,0.002586218
,,24.16851764,3.02268421,6.298643369,5.632863527,2.950024343,,0.032004102,,,,,0.002586218,0.025862177,0.002586218,0.010344871,,,0.018103524,0.34742273,0.020689742,0.002586218,0.34742273,0.002586218,0.072414097,0.100862492,,0.044463051,
,,10.83477513,5.774933894,6.298245975,4.209086657,1.919174926,,0.032004102,,,,,0.012566833,0.028448395,0.054310573,0.20689742,,,0.002586218,0.34742273,0.012931089,0.002586218,0.34742273,0.031034613,0.064655444,0.106034928,,0.044463051,
,,20.37617229,2.402882451,57.91040427,1.95237094,1.891706122,,0.031506629,,,,,0.007758653,0.173276589,0.015517306,0.05689679,,,0.016748839,0.34742273,0.019204042,0.002586218,0.005172435,0.031034613,0.002586218,0.005172435,,0.044463051,
,,24.2053315,3.875075236,1.070720574,7.615549961,1.576791764,,0.031506629,,,,,0.012566833,0.266380428,0.098276274,0.002586218,,,0.016748839,0.34742273,0.005172435,0.002586218,0.34742273,0.031034613,0.002586218,0.062069226,,0.002586218,
,,3.251521606,0.853296855,2.121113764,20.62193074,3.713162616,,0.031506629,,,,,0.012566833,0.054310573,,0.159688683,,,0.038793266,0.34742273,0.005172435,0.002586218,0.34742273,0.069827879,0.256035557,0.02327596,,0.015517306,
,,4.923167001,6.009802168,4.731072757,91.72516476,1.915043487,,0.031506629,,,,,0.002586218,0.012931089,,0.159688683,,,0.093103839,0.34742273,0.002586218,0.002586218,0.34742273,,0.483622719,0.067241661,,0.005172435,
,,79.5567802,4.519835649,7.864838519,15.19033184,1.929976473,,0.031506629,,,,,0.002586218,0.043644784,,0.062069226,,,0.007758653,0.34742273,0.019204042,0.002586218,,,0.059483008,0.062069226,,0.002586218,
,,86.5145606,2.23018768,3.23373896,6.332365774,3.688469691,,0.124368273,,,,,0.005172435,0.005172435,,0.007758653,,,0.020689742,0.34742273,0.019204042,0.002586218,,,0.168104154,0.02327596,,0.02327596,
,,51.70656389,13.98629599,Not Quantified,1.030133913,5.493602185,,0.031506629,,,,,0.002586218,0.046551919,,0.002586218,,,0.005172435,0.34742273,0.007758653,0.002586218,,,0.012931089,0.043644784,,0.012931089,
,,9.850043075,6.005213949,Not Quantified,6.764422221,,,0.065782525,,,,,0.02327596,0.043644784,,0.087931403,,,0.002586218,0.34742273,0.019204042,0.002586218,,,0.010344871,0.077586532,,0.044463051,
,,13.09888707,7.438918087,4.995721544,7.553744906,,,0.031506629,,,,,0.002586218,0.005172435,,0.056222125,,,0.002586218,,0.002586218,0.002586218,,,0.002586218,0.007758653,,0.581898993,
,,2.438767563,25.12781853,6.385663876,3.717421676,,,0.031506629,,,,,0.028448395,0.043644784,,0.095690057,,,0.007758653,,0.054310573,0.002586218,,,0.025862177,0.007758653,,0.075000315,
,,10.60506827,1.619072389,1.126970691,1.612272695,,,,,,,,0.012566833,0.025862177,,0.025862177,,,0.002586218,,0.005172435,0.002586218,,,0.002586218,0.077586532,,0.044463051,
,,6.290982363,1.534081321,0.815074878,17.72093859,,,,,,,,0.015517306,0.043644784,,0.056222125,,,0.006465544,,0.015517306,0.038793266,,,0.010344871,0.077586532,,0.044463051,
,,3.410280276,65.37717635,5.834526281,1.161762393,,,,,,,,0.012566833,0.336208307,,0.002586218,,,0.002586218,,0.043965702,0.038793266,,,0.038793266,0.012931089,,0.005172435,
,,5.735418955,2.385223058,5.870051611,3.915412339,,,,,,,,0.002586218,0.005172435,,0.159688683,,,0.002586218,,0.019204042,0.038793266,,,,0.067241661,,0.044463051,
,,8.050316174,5.126814302,4.67096615,3.120451381,,,,,,,,0.012566833,0.012931089,,0.159688683,,,0.012931089,,0.010344871,0.038793266,,,,0.007758653,,0.044463051,
,,2.641016497,6.83407232,21.63265825,3.488726531,,,,,,,,0.012566833,0.02327596,,0.159688683,,,0.007758653,,0.019204042,0.038793266,,,,0.064655444,,0.044463051,
,,2.622383851,9.212761979,11.49839178,1.659743696,,,,,,,,0.015517306,0.005172435,,0.159688683,,,,,0.007758653,0.038793266,,,,0.007758653,,0.007758653,
,,9.136614534,13.78256577,11.52589674,2.718948347,,,,,,,,0.002586218,0.015517306,,0.159688683,,,,,0.256035557,0.038793266,,,,0.077586532,,0.044463051,
,,2.918195099,2.447259748,2.336977517,0.893443216,,,,,,,,0.012566833,0.007758653,,0.159688683,,,,,0.002586218,0.012931089,,,,0.002586218,,0.002586218,
,,7.330296963,13.24569591,8.706991891,6.01187054,,,,,,,,0.007758653,0.007758653,,0.159688683,,,,,0.067241661,0.038793266,,,,0.067241661,,0.018103524,
,,10.95535591,,4.607927359,7.019307443,,,,,,,,0.012566833,0.007758653,,0.159688683,,,,,0.028448395,0.025862177,,,,0.012931089,,0.005172435,
,,11.20692013,,5.081383066,1.496705887,,,,,,,,0.012566833,0.007758653,,0.159688683,,,,,0.010344871,0.025862177,,,,0.007758653,,0.002586218,
,,13.6582638,,,6.842765236,,,,,,,,0.059483008,0.020689742,,0.005172435,,,,,0.019204042,0.064655444,,,,0.051724355,,0.044463051,
,,5.646953107,,,6.68722597,,,,,,,,0.005172435,0.012931089,,0.159688683,,,,,0.062069226,0.051724355,,,,0.005172435,,0.044463051,
,,5.706222477,,,1.926042624,,,,,,,,0.012566833,0.018103524,,0.159688683,,,,,0.019204042,0.038793266,,,,0.051724355,,0.044463051,
,,5.945847103,,,5.503465541,,,,,,,,0.012566833,0.002586218,,0.159688683,,,,,0.018103524,0.038793266,,,,0.018103524,,0.044463051,
,,6.60747463,,,310.6765501,,,,,,,,0.002586218,0.012931089,,0.159688683,,,,,0.007758653,0.064655444,,,,0.062069226,,0.044463051,
,,11.04570268,,,4.195363106,,,,,,,,0.155173065,0.015517306,,0.159688683,,,,,0.025862177,0.038793266,,,,0.067241661,,0.044463051,
,,12.08206904,,,5.594184752,,,,,,,,0.002586218,0.012931089,,0.159688683,,,,,0.002586218,0.002586218,,,,0.012931089,,0.005172435,
,,10.6066134,,,3.558398456,,,,,,,,0.028448395,0.010344871,,0.159688683,,,,,0.005172435,0.051724355,,,,0.062069226,,0.044463051,
,,2.476607293,,,3.755583385,,,,,,,,0.012566833,0.028448395,,0.159688683,,,,,0.002586218,0.012931089,,,,0.072414097,,0.002586218,
,,5.692733712,,,11.46534954,,,,,,,,0.012566833,0.010344871,,0.012931089,,,,,0.018103524,0.038793266,,,,0.007758653,,0.010344871,
,,3.938947275,,,1.54820627,,,,,,,,0.012566833,0.007758653,,0.403449969,,,,,0.002586218,0.038793266,,,,0.043644784,,0.044463051,
,,25.50472518,,,65.18612975,,,,,,,,0.010344871,0.018103524,,0.814658591,,,,,0.019204042,0.024791118,,,,0.018103524,,0.002586218,
,,15.5320835,,,2.015576343,,,,,,,,0.007758653,0.012931089,,0.393105098,,,,,0.019204042,0.038793266,,,,0.010344871,,0.044463051,
,,16.25043847,,,26.86787122,,,,,,,,0.005172435,0.005172435,,0.002586218,,,,,0.019204042,0.038793266,,,,0.491381372,,0.002586218,
,,26.08182123,,,3.028120549,,,,,,,,0.018103524,0.062069226,,0.159688683,,,,,0.019204042,0.025862177,,,,0.012931089,,0.018103524,
,,9.849419083,,,3.073582687,,,,,,,,0.005172435,0.043644784,,0.159688683,,,,,0.019204042,0.038793266,,,,0.02327596,,0.018103524,
,,6.964799058,,,4.483557961,,,,,,,,0.002586218,0.043644784,,0.159688683,,,,,0.064655444,0.025862177,,,,0.018103524,,0.044463051,
,,6.564701116,,,7.549625078,,,,,,,,0.007758653,0.020689742,,0.159688683,,,,,0.019204042,0.038793266,,,,0.007758653,,0.044463051,
,,15.25522113,,,14.87202901,,,,,,,,0.002586218,0.043644784,,0.159688683,,,,,0.019204042,0.025862177,,,,0.043644784,,0.002586218,
,,18.77428303,,,24.27287872,,,,,,,,0.005172435,0.005172435,,0.033620831,,,,,0.019204042,0.025862177,,,,0.007758653,,0.020689742,
,,14.63748744,,,16.98601928,,,,,,,,0.007758653,0.036207048,,0.159688683,,,,,0.002586218,0.038793266,,,,0.012931089,,0.044463051,
,,14.55423006,,,15.05677425,,,,,,,,0.007758653,0.002586218,,0.02327596,,,,,0.002586218,0.025862177,,,,0.018103524,,0.002586218,
,,7.252645033,,,14.97301885,,,,,,,,0.002586218,0.018103524,,1.101728761,,,,,0.002586218,0.038793266,,,,0.015517306,,0.147414412,
,,5.168233101,,,9.450715591,,,,,,,,0.036207048,0.012931089,,0.051724355,,,,,0.005172435,0.038793266,,,,0.002586218,,0.002586218,
,,9.99593639,,,18.47164762,,,,,,,,0.010344871,0.031034613,,0.159688683,,,,,0.038793266,0.038793266,,,,0.043644784,,0.044463051,
,,8.034153136,,,18.57655414,,,,,,,,0.012931089,0.08017275,,0.062069226,,,,,0.019204042,0.038793266,,,,0.015517306,,0.044463051,
,,3.042287718,,,15.9357902,,,,,,,,0.012566833,0.067241661,,0.159688683,,,,,0.002586218,0.025862177,,,,0.012931089,,0.044463051,
,,19.84805101,,,7.733204799,,,,,,,,0.025862177,0.095690057,,0.266380428,,,,,0.002586218,0.025862177,,,,0.005172435,,0.015517306,
,,2.927756382,,,21.91515747,,,,,,,,0.002586218,0.077586532,,0.051724355,,,,,0.002586218,0.038793266,,,,0.043644784,,0.044463051,
,,1.360482588,,,32.87354086,,,,,,,,0.002586218,0.064655444,,0.159688683,,,,,0.002586218,0.038793266,,,,0.010344871,,0.002586218,
,,4.064334868,,,0.810252546,,,,,,,,0.033620831,0.043644784,,0.553450598,,,,,0.012931089,0.025862177,,,,0.043644784,,0.002586218,
,,4.970252545,,,5.84670504,,,,,,,,0.002586218,0.012931089,,0.036207048,,,,,0.005172435,0.025862177,,,,0.002586218,,0.007758653,
,,1.364637595,,,5.455404586,,,,,,,,0.012566833,0.020689742,,0.049138137,,,,,0.002586218,0.025862177,,,,0.015517306,,0.044463051,
,,8.096144915,,,,,,,,,,,0.015517306,0.012931089,,0.159688683,,,,,0.005172435,0.038793266,,,,0.018103524,,0.002586218,
,,13.73343676,,,,,,,,,,,0.025862177,0.067241661,,0.005172435,,,,,0.02327596,0.038793266,,,,0.018103524,,0.046551919,
,,5.953522278,,,,,,,,,,,0.012566833,0.043644784,,0.002586218,,,,,0.002586218,0.038793266,,,,0.015517306,,0.002586218,
,,10.08897486,,,,,,,,,,,0.012931089,0.049138137,,0.018103524,,,,,0.002586218,0.038793266,,,,0.007758653,,0.002586218,
,,21.14012917,,,,,,,,,,,0.002586218,0.020689742,,0.159688683,,,,,0.002586218,0.038793266,,,,0.020689742,,0.002586218,
,,8.768363643,,,,,,,,,,,0.036207048,0.038793266,,0.098276274,,,,,0.002586218,0.025862177,,,,0.051724355,,0.010344871,
,,8.009322627,,,,,,,,,,,0.002586218,0.028448395,,0.005172435,,,,,0.009051762,0.012931089,,,,,,0.002586218,
,,7.589351327,,,,,,,,,,,0.007758653,0.041379484,,0.258621775,,,,,0.009051762,0.012931089,,,,,,0.077586532,
,,16.00183211,,,,,,,,,,,0.018103524,0.007758653,,0.439657017,,,,,0.009051762,0.024791118,,,,,,0.051724355,
,,10.01437773,,,,,,,,,,,0.005172435,0.085345186,,0.054310573,,,,,0.002586218,0.051724355,,,,,,0.075000315,
,,20.76240127,,,,,,,,,,,0.012931089,0.020689742,,0.481036501,,,,,0.002586218,0.051724355,,,,,,0.012931089,
,,11.74235217,,,,,,,,,,,0.002586218,0.010344871,,0.041379484,,,,,0.002586218,0.012931089,,,,,,0.002586218,
,,2.787904785,,,,,,,,,,,0.005172435,0.043644784,,0.159688683,,,,,0.002586218,0.051724355,,,,,,0.002586218,
,,1.305700921,,,,,,,,,,,0.005172435,0.043644784,,0.159688683,,,,,0.002586218,0.018103524,,,,,,0.010344871,
,,0.548789562,,,,,,,,,,,0.020689742,0.043644784,,0.159688683,,,,,0.012931089,0.051724355,,,,,,0.002586218,
,,5.748051389,,,,,,,,,,,0.028448395,0.002586218,,0.046551919,,,,,0.031034613,0.025862177,,,,,,0.910348648,
,,6.224691348,,,,,,,,,,,0.012566833,0.005172435,,0.159688683,,,,,0.015517306,0.051724355,,,,,,0.010991425,
,,3.977987036,,,,,,,,,,,0.007758653,0.007758653,,0.033620831,,,,,,0.002586218,,,,,,0.002586218,
,,2.566885391,,,,,,,,,,,0.043965702,0.025862177,,0.043965702,,,,,,0.051724355,,,,,,0.002586218,
,,1.476778554,,,,,,,,,,,0.007758653,,,0.159688683,,,,,,0.051724355,,,,,,0.018103524,
,,6.66057034,,,,,,,,,,,0.025862177,,,0.159688683,,,,,,0.038793266,,,,,,0.020689742,
,,3.49121139,,,,,,,,,,,0.002586218,,,0.139655758,,,,,,0.024791118,,,,,,,
,,26.52656022,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.024791118,,,,,,,
,,26.62679458,,,,,,,,,,,0.007758653,,,0.159688683,,,,,,0.007758653,,,,,,,
,,5.800895311,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.012931089,,,,,,,
,,3.191443488,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.012931089,,,,,,,
,,2.997711536,,,,,,,,,,,0.002586218,,,0.159688683,,,,,,0.012931089,,,,,,,
,,3.693638657,,,,,,,,,,,0.002586218,,,0.159688683,,,,,,0.012931089,,,,,,,
,,3.757258873,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.012931089,,,,,,,
,,5.304290073,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.012931089,,,,,,,
,,8.521407027,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.012931089,,,,,,,
,,8.799723708,,,,,,,,,,,0.005172435,,,0.159688683,,,,,,0.012931089,,,,,,,
,,8.566049137,,,,,,,,,,,0.002586218,,,0.159688683,,,,,,0.012931089,,,,,,,
,,3.435948341,,,,,,,,,,,0.033620831,,,0.077586532,,,,,,0.025862177,,,,,,,
,,7.030832539,,,,,,,,,,,0.043965702,,,0.159688683,,,,,,0.012931089,,,,,,,
,,2.47554379,,,,,,,,,,,0.028448395,,,0.159688683,,,,,,0.012931089,,,,,,,
,,2.856749256,,,,,,,,,,,0.012566833,,,0.256035557,,,,,,0.012931089,,,,,,,
,,0.700501159,,,,,,,,,,,0.010344871,,,0.005172435,,,,,,0.024791118,,,,,,,
,,6.272175156,,,,,,,,,,,0.007758653,,,0.159688683,,,,,,0.010991425,,,,,,,
,,2.520236504,,,,,,,,,,,0.010344871,,,0.159688683,,,,,,0.002586218,,,,,,,
,,0.99129555,,,,,,,,,,,0.002586218,,,0.028448395,,,,,,0.002586218,,,,,,,
,,1.561736336,,,,,,,,,,,0.082758968,,,0.002586218,,,,,,0.018103524,,,,,,,
,,21.3232687,,,,,,,,,,,0.002586218,,,0.159688683,,,,,,0.020689742,,,,,,,
,,6.681600184,,,,,,,,,,,0.002586218,,,0.894831341,,,,,,0.012931089,,,,,,,
,,0.83041911,,,,,,,,,,,0.005172435,,,0.481036501,,,,,,0.012931089,,,,,,,
,,3.860546775,,,,,,,,,,,0.012566833,,,0.036207048,,,,,,0.012931089,,,,,,,
,,4.242764268,,,,,,,,,,,0.002586218,,,0.159688683,,,,,,0.012931089,,,,,,,
,,5.286627388,,,,,,,,,,,0.015517306,,,0.159688683,,,,,,0.025862177,,,,,,,
,,5.914981279,,,,,,,,,,,0.002586218,,,0.012931089,,,,,,0.012931089,,,,,,,
,,34.45482407,,,,,,,,,,,0.002586218,,,0.159688683,,,,,,0.002586218,,,,,,,
,,27.01576933,,,,,,,,,,,0.012566833,,,1.006038704,,,,,,0.002586218,,,,,,,
,,25.2307198,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.002586218,,,,,,,
,,18.51834941,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.002586218,,,,,,,
,,25.67157098,,,,,,,,,,,0.005172435,,,0.020689742,,,,,,0.002586218,,,,,,,
,,29.34372799,,,,,,,,,,,0.007758653,,,0.159688683,,,,,,0.002586218,,,,,,,
,,8.069477812,,,,,,,,,,,0.007758653,,,0.159688683,,,,,,0.002586218,,,,,,,
,,9.319455488,,,,,,,,,,,0.020689742,,,0.159688683,,,,,,0.002586218,,,,,,,
,,5.785325568,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.002586218,,,,,,,
,,6.086342025,,,,,,,,,,,0.005172435,,,0.159688683,,,,,,0.002586218,,,,,,,
,,4.286639612,,,,,,,,,,,0.072414097,,,0.159688683,,,,,,0.002586218,,,,,,,
,,4.507175744,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.002586218,,,,,,,
,,4.501641498,,,,,,,,,,,0.012566833,,,0.002586218,,,,,,0.002586218,,,,,,,
,,17.72722753,,,,,,,,,,,0.012566833,,,0.005172435,,,,,,0.002586218,,,,,,,
,,5.962806093,,,,,,,,,,,0.012566833,,,0.033620831,,,,,,0.002586218,,,,,,,
,,9.275252116,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.002586218,,,,,,,
,,2.062605686,,,,,,,,,,,0.069827879,,,0.002586218,,,,,,0.002586218,,,,,,,
,,2.791529942,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.002586218,,,,,,,
,,9.780551223,,,,,,,,,,,0.018103524,,,0.159688683,,,,,,0.002586218,,,,,,,
,,10.51524944,,,,,,,,,,,0.002586218,,,0.159688683,,,,,,0.002586218,,,,,,,
,,6.079965916,,,,,,,,,,,0.012566833,,,0.002586218,,,,,,0.002586218,,,,,,,
,,18.85351911,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.002586218,,,,,,,
,,Not Quantified,,,,,,,,,,,0.002586218,,,0.043965702,,,,,,0.002586218,,,,,,,
,,3.338033896,,,,,,,,,,,0.007758653,,,0.159688683,,,,,,0.002586218,,,,,,,
,,16.19015661,,,,,,,,,,,0.002586218,,,0.159688683,,,,,,0.002586218,,,,,,,
,,4.862173434,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.002586218,,,,,,,
,,4.840177099,,,,,,,,,,,0.012566833,,,0.159688683,,,,,,0.002586218,,,,,,,
,,13.9068533,,,,,,,,,,,0.002586218,,,0.159688683,,,,,,0.002586218,,,,,,,
,,2.121727454,,,,,,,,,,,0.05689679,,,0.05689679,,,,,,0.002586218,,,,,,,
,,1.870789633,,,,,,,,,,,0.015517306,,,0.713796099,,,,,,0.012931089,,,,,,,
,,8.141774206,,,,,,,,,,,0.025862177,,,0.038793266,,,,,,0.012931089,,,,,,,
,,6.936910396,,,,,,,,,,,0.002586218,,,0.005172435,,,,,,0.012931089,,,,,,,
,,5.000148588,,,,,,,,,,,0.012566833,,,0.056222125,,,,,,0.012931089,,,,,,,
,,8.317718371,,,,,,,,,,,0.012566833,,,0.056222125,,,,,,0.002586218,,,,,,,
,,2.401997653,,,,,,,,,,,0.002586218,,,0.056222125,,,,,,0.012931089,,,,,,,
,,9.993952594,,,,,,,,,,,0.012566833,,,0.056222125,,,,,,0.012931089,,,,,,,
,,6.728335689,,,,,,,,,,,0.012566833,,,0.056222125,,,,,,0.012931089,,,,,,,
,,6.843390436,,,,,,,,,,,0.012566833,,,0.056222125,,,,,,0.012931089,,,,,,,
,,5.187034968,,,,,,,,,,,0.018103524,,,0.056222125,,,,,,0.012931089,,,,,,,
,,22.1304821,,,,,,,,,,,0.012566833,,,0.056222125,,,,,,0.012931089,,,,,,,
,,28.00102117,,,,,,,,,,,0.007758653,,,0.018103524,,,,,,0.012931089,,,,,,,
,,6.784483878,,,,,,,,,,,0.012566833,,,0.005172435,,,,,,0.012931089,,,,,,,
,,7.803105762,,,,,,,,,,,0.012566833,,,0.056222125,,,,,,0.012931089,,,,,,,
,,9.601215964,,,,,,,,,,,0.012566833,,,0.002586218,,,,,,0.012931089,,,,,,,
,,14.55327038,,,,,,,,,,,0.002586218,,,0.056222125,,,,,,0.012931089,,,,,,,
,,7.492288947,,,,,,,,,,,0.005172435,,,0.056222125,,,,,,0.012931089,,,,,,,
,,7.454719772,,,,,,,,,,,0.012566833,,,0.056222125,,,,,,0.012931089,,,,,,,
,,7.447667963,,,,,,,,,,,0.012566833,,,0.005172435,,,,,,0.012931089,,,,,,,
,,49.20827357,,,,,,,,,,,0.002586218,,,0.038793266,,,,,,0.012931089,,,,,,,
,,23.10952344,,,,,,,,,,,0.012566833,,,0.031034613,,,,,,0.038793266,,,,,,,
,,20.37242631,,,,,,,,,,,0.012566833,,,0.005172435,,,,,,0.012931089,,,,,,,
,,18.02611686,,,,,,,,,,,0.012566833,,,0.056222125,,,,,,0.012931089,,,,,,,
,,48.26666672,,,,,,,,,,,0.002586218,,,0.113793581,,,,,,0.051724355,,,,,,,
,,16.393477,,,,,,,,,,,0.012566833,,,0.038793266,,,,,,0.012931089,,,,,,,
,,33.02405018,,,,,,,,,,,0.002586218,,,0.069827879,,,,,,0.025862177,,,,,,,
,,34.74607953,,,,,,,,,,,0.002586218,,,0.025862177,,,,,,0.012931089,,,,,,,
,,23.23168602,,,,,,,,,,,0.012566833,,,0.387932662,,,,,,0.051724355,,,,,,,
,,29.38944617,,,,,,,,,,,0.002586218,,,0.002586218,,,,,,0.038793266,,,,,,,
,,17.41960581,,,,,,,,,,,0.002586218,,,0.036207048,,,,,,0.025862177,,,,,,,
,,1.734534786,,,,,,,,,,,0.002586218,,,0.046551919,,,,,,0.038793266,,,,,,,
,,7.119189472,,,,,,,,,,,0.002586218,,,0.113793581,,,,,,0.025862177,,,,,,,
,,14.1071505,,,,,,,,,,,0.002586218,,,0.05689679,,,,,,0.012931089,,,,,,,
,,10.9511382,,,,,,,,,,,0.012566833,,,0.041379484,,,,,,0.012931089,,,,,,,
,,7.935714082,,,,,,,,,,,0.012931089,,,0.041379484,,,,,,0.025862177,,,,,,,
,,7.224648188,,,,,,,,,,,0.002586218,,,,,,,,,0.025862177,,,,,,,
,,6.159172979,,,,,,,,,,,0.002586218,,,,,,,,,0.025862177,,,,,,,
,,9.456384421,,,,,,,,,,,0.012566833,,,,,,,,,0.051724355,,,,,,,
,,44.39176445,,,,,,,,,,,0.012566833,,,,,,,,,0.051724355,,,,,,,
,,15.66903702,,,,,,,,,,,0.007758653,,,,,,,,,0.016666737,,,,,,,
,,21.57445239,,,,,,,,,,,0.002586218,,,,,,,,,0.016666737,,,,,,,
,,13.34176339,,,,,,,,,,,0.002586218,,,,,,,,,0.051724355,,,,,,,
,,20.55089217,,,,,,,,,,,0.012566833,,,,,,,,,0.038793266,,,,,,,
,,40.6346931,,,,,,,,,,,0.015517306,,,,,,,,,0.025862177,,,,,,,
,,19.61763796,,,,,,,,,,,0.012566833,,,,,,,,,0.025862177,,,,,,,
,,17.79628971,,,,,,,,,,,0.012566833,,,,,,,,,0.016666737,,,,,,,
,,1.493938671,,,,,,,,,,,0.002586218,,,,,,,,,0.025862177,,,,,,,
,,26.44740167,,,,,,,,,,,0.002586218,,,,,,,,,0.025862177,,,,,,,
,,3.522939682,,,,,,,,,,,0.031034613,,,,,,,,,0.025862177,,,,,,,
,,13.54005692,,,,,,,,,,,0.005172435,,,,,,,,,0.025862177,,,,,,,
,,13.53309878,,,,,,,,,,,0.002586218,,,,,,,,,0.025862177,,,,,,,
,,13.46961523,,,,,,,,,,,0.002586218,,,,,,,,,0.025862177,,,,,,,
,,13.45544197,,,,,,,,,,,0.005172435,,,,,,,,,0.012931089,,,,,,,
,,13.505224,,,,,,,,,,,0.002586218,,,,,,,,,0.025862177,,,,,,,
,,13.58327599,,,,,,,,,,,0.018103524,,,,,,,,,0.025862177,,,,,,,
,,12.90270966,,,,,,,,,,,0.002586218,,,,,,,,,0.025862177,,,,,,,
