Program Name,Simulation,"Average ""True"" Daily Emissions (Kg Methane)","Average ""True"" Mitigable Daily Emissions (Kg Methane)","Average ""True"" Non-Mitigable Daily Emissions (Kg Methane)","95th Percentile ""True"" Daily Emissions (Kg Methane)","95th Percentile ""True"" Mitigable Daily Emissions (Kg Methane)","95th Percentile ""True"" Non-Mitigable Daily Emissions (Kg Methane)","5th Percentile ""True"" Daily Emissions (Kg Methane)","5th Percentile ""True"" Mitigable Daily Emissions (Kg Methane)","5th Percentile ""True"" Non-Mitigable Daily Emissions (Kg Methane)",Average Daily Cost ($),Total Cost ($),95th Percentile Daily Cost ($),5th Percentile Daily Cost ($)
P_none,3,1006.3907685479452,656.1601465753425,350.230622739726,1113.17929,747.3482399999999,372.97398,935.11261,584.76659,322.14673,0.0,0.0,0.0,0.0
P_none,4,971.3410756164384,675.8799986301369,295.461077369863,1017.461098,714.724656,329.84828,925.8692599999999,649.2540339999999,263.26041,0.0,0.0,0.0,0.0
P_OGI,0,705.4932411232877,398.3285270136987,307.1647138082192,936.51289,653.723016,336.55175,466.949266,132.37131600000004,263.22317,147.52876712328768,53848.0,0.0,0.0
P_OGI,1,729.3241508219178,413.2886051232877,316.03554589041096,1029.66887,701.9880519999999,339.53108,429.32042,115.29979,295.90634,161.77534246575343,59048.0,0.0,0.0
P_OGI,2,746.2811915890412,421.30094246575345,324.9802489041096,1096.2120479999999,741.40449,356.88563,467.835616,118.38339400000001,298.11849,164.5150684931507,60048.0,0.0,0.0
P_OGI,3,780.0544685479452,429.8238462739726,350.230622739726,1090.0746419999998,723.5732419999998,372.97398,508.46612999999996,147.69993,322.14673,148.62465753424658,54248.0,0.0,0.0
P_OGI,4,694.0803946575342,398.6193166027397,295.461077369863,978.499,697.16155,329.84828,433.08182,112.84185400000001,263.26041,160.13150684931506,58448.0,0.0,0.0
P_stationary,0,399.03050189041096,91.86578764383562,307.1647138082192,933.28778,619.9821879999998,336.55175,305.350796,31.19351,263.22317,2338.7123287671234,853630.0,5621.999999999995,30.0
P_stationary,1,417.1092783561644,101.07373235616438,316.03554589041096,1027.04707,705.9654459999999,339.53108,346.62931399999997,35.52843,295.90634,2373.780821917808,866430.0,5742.0,30.0
P_stationary,2,426.813096109589,101.8328471780822,324.9802489041096,1106.1034,751.01281,356.88563,339.51618399999995,31.640410000000003,298.11849,2380.3561643835615,868830.0,5742.0,30.0
P_stationary,3,442.09028780821916,91.85966569863014,350.230622739726,928.4165859999999,574.93483,372.97398,370.18831,36.86912,322.14673,2363.3698630136987,862630.0,5742.0,30.0
P_stationary,4,392.29845709589034,96.83737939726026,295.461077369863,1016.7162659999999,686.033776,329.84828,310.735926,34.85808,263.26041,2357.890410958904,860630.0,5742.0,30.0
P_truck,0,686.6598389041096,379.49512517808216,307.1647138082192,935.8053,649.9243819999999,336.55175,440.66419,110.026394,263.22317,146.0054794520548,53292.0,0.0,0.0
P_truck,1,718.2471918356163,402.21164580821915,316.03554589041096,1029.5348,703.5968859999999,339.53108,393.24827,84.28504800000002,295.90634,162.9917808219178,59492.0,0.0,0.0
P_truck,2,727.1974038904109,402.2171554246576,324.9802489041096,1099.5041999999999,739.795656,356.88563,430.929254,80.888614,298.11849,169.0191780821918,61692.0,0.0,0.0
P_truck,3,759.4989774246576,409.2683554794521,350.230622739726,1084.0415119999998,717.5401119999998,372.97398,462.100424,101.44594,322.14673,152.03287671232877,55492.0,0.0,0.0
P_truck,4,654.8843412328766,359.42326446575345,295.461077369863,979.0352819999998,696.0442999999999,329.84828,370.73949,51.527390000000004,263.26041,163.53972602739725,59692.0,0.0,0.0
