test1,test2,BV_OneStop,DV_OneStop,EDM_OneStop,FTM_OneStop,GP_OneStop,MDP_OneStop,MH_OneStop,RD_OneStop,SL_OneStop,WW_OneStop
,,0.178424658,0,0,0,0,0,0.023607306,0,0,0
,,0,0,0,0.003584475,0.003584475,0,0,0,0,0.07869863
,,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0.020319635,0.013196347,0
,,0,0,0,0,0,0,0,0,0,0
,,0.031757991,0,0.006004566,0,0,0,0,0,0,0
,,0,0,0.203744292,0,0,0,0,0,0,0
,,0.069657534,0,0,0.020388128,0.020388128,0,0,0.025159817,0,0
,,0.057123288,6.85E-05,0,0,0,0.032762557,0.316027397,0.023767123,0,0.178789954
,,0,0,0,0.118242009,0.118242009,0.1506621,0,0,0.047671233,0.039703196
,,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0.068219178
,,0.115410959,0,0,0.076392694,0.076392694,0,0,0,0.030091324,0
,,0,0,0,0.014452055,0.014452055,0,0,0.010593607,0,0
,,0.094817352,0.085844749,0,0.117374429,0.117374429,0,0.027191781,0,0,0
,,5.257534247,0,0,0,0,0,0,0,0.09,0
,,0,0,0,0,0,0,0,0,0.09913242,0
,,0,0.030205479,0.056986301,0,0,0,0.04152968,0,0.068652968,0
,,0,0.036255708,0.150479452,0,0,0,0.020593607,0,0,0.035981735
,,0,0.010799087,0,0,0,0,0.053105023,0.074748858,0,0.022853881
,,0,0,0.006666667,1.788630137,1.788630137,0,0,0,0,0
,,0,0,0,0.041187215,0.041187215,0,0,0.029041096,0.014383562,0
,,0.025136986,0,0,0,0,0,0,0,0.016780822,0
,,0.094817352,0,0,0,0,0,0,0.082488584,0.013196347,0
,,0.049063927,0,0,0.048744292,0.048744292,0,0,0,0,0
,,0.231004566,0,0,0.031894977,0.031894977,0,0,0,0.030273973,0
,,0,0.030365297,0.169885845,0,0,0,0,0.000319635,0,0
,,0,0,0,0.011986301,0.011986301,0,0.155136986,0,0,0
,,0,0,0,0,0,0,0,0,0,0.003721461
,,0.163333333,0,0,0,0,0,0,0.32,0,0
,,0.115410959,0,0,0.299041096,0.299041096,0,0.024520548,0,0,0
,,0.020593607,0,0,0,0,0,0.007945205,0.007442922,0,0
,,0,0,0.037374429,0.650159817,0.650159817,0,0,0,0,0
,,0,0,0,0,0,0,0,0.000616438,0.014383562,0
,,0,0.006369863,0,0,0,0.005730594,0.010296804,0.005913242,0,0.499703196
,,0.488584475,0.000593607,0.011232877,0,0,0,0,0.001894977,6.85E-05,0
,,0,0,0,0.170936073,0.170936073,0,0,0.000547945,0,0
,,0,0,7.188744292,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,2.422785388,0,0
,,0.188424658,0,0,0,0,0.010296804,0,0.021780822,0,0
,,0,0,0,0,0,0,0.316803653,0,0,0
,,0,0,0,0,0,0,0,0,0,0
,,3.657054795,0,0.023789954,0.172100457,0.172100457,0,0,0,0,0
,,0,0.227899543,0,0,0,0.002009132,0.701255708,0,0,0
,,0,0.001118721,0,0.028881279,0.028881279,0,0,0.24109589,0,0
,,0.16783105,0,0,0,0,0.00239726,0,0.010091324,0,0
,,0,0,0,2.272100457,2.272100457,0,0,0,0.015913242,0
,,0,0,0.001666667,0,0,0,0,0,0,0
,,0.022853881,0.037374429,0.006780822,0,0,0,0.086986301,0.037374429,0,0
,,0,0,0,0,0,0.09173516,0,0,0,1.189292237
,,0,0,0,2.707009132,2.707009132,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0.046780822,0
,,0,0,0,0.049063927,0.049063927,0,0,0,0,0
,,0,0,0.289931507,0,0,0,1.063744292,0,0,0
,,0,0,0,0,0,0,0.033972603,0,0,0
,,0.041187215,0,0.044634703,0,0,0,0,0,0,0
,,5.264360731,0,0,0,0,0,0,0,0,0.037191781
,,0.1393379,0,0.023995434,0.020593607,0.020593607,0,0,0.000319635,0,0
,,0.164497717,0,0,0,0,0,0,0,0,0
,,0.112077626,0.173630137,0,0,0,0,0,0,0,0
,,0,0,0.065981735,0,0,0,0,0,0,0
,,0.147214612,0,0,0,0,0,0,0,0,0.147465753
,,0.118744292,0,0,0,0,0,0.030890411,0,0.709429224,0
,,0,0,0,0,0,0,0,0.012579909,0,0
,,0.050273973,0,0,0,0,0,0,0,0,0
,,0,0.016986301,0.151940639,0,0,0,0,0.009200913,0,0.287922374
,,0,0,0,0,0,0,0,0,0,0
,,0,0,0.154269406,0,0,0,0,0,0,0
,,0.020593607,0,0,0,0,0,0,0,0,0
,,0.180547945,0.000753425,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0.034474886
,,0,0,0,0,0,0.020799087,0,0,0,0
,,0.321210046,0,0,0,0,0,0.385045662,0,0,0
,,0.090273973,6.85E-05,0,0,0,1.832990868,0,0.00826484,0,0
,,0.03630137,0,0,0,0,0.004406393,0,0,0.013196347,0
,,0.107534247,0.00239726,0,0.66239726,0.66239726,0,0,0,0,0
,,0.212648402,0,0,0,0,0,0,0,0.083995434,0.044246575
,,0.041187215,0,0,0.03652968,0.03652968,0,0,0,0,0
,,0,0,0,0.107146119,0.107146119,0.015981735,0,0.027808219,0,0
,,0.198675799,0.003424658,0,0,0,0,0,0,0,0
,,0.015913242,0,0.055616438,0,0,0.032990868,0,0,0,0
,,0.119954338,0.004520548,0,0,0,0,0,0,0,0
,,0.11086758,0,0,0,0,0,0,0,0,0
,,0.041187215,0,0,0,0,0,0,0,0,0
,,0,0,0.016643836,0,0,0,0,0,0,0
,,2.544954338,0,0.030273973,0,0,0,0,0,0,0
,,0.025136986,0,0,0,0,0,0,4.57E-05,0,0
,,2.192968037,0.029794521,0,0.011232877,0.011232877,0,0,0.012899543,0,0
,,0.116621005,0.410730594,0.006666667,0,0,0,0,0.236369863,0.039817352,0
,,0.146324201,0,0,0,0,0,0,0,0.095593607,0
,,0,0,0,0,0,0,0,0,0,0
,,0.041187215,0,0,0,0,0,0,0,0,0
,,0.025136986,0.033493151,0,0,0,0,0,0.067420091,0,0
,,1.231415525,0,0.028881279,0,0,0,0,0,0,0
,,0,0,0.013538813,0,0,0,0,0.050799087,0,0
,,0.050273973,0,0,0,0,0,0.00847032,0,0.080388128,0
,,0.118744292,0,0,0,0,0.080045662,0,0,0,0
,,0,0,0,0,0,0.046415525,0,0,0,0
,,0.119954338,0.023767123,0,0,0,0,0,0,0,0
,,0.112077626,0,0,0,0,0.554109589,0,0,0,0.052420091
,,0.102990868,0,0.012557078,0.002260274,0.002260274,0,0.337305936,0,0.006780822,0
,,0.118744292,0,0,0,0,0,0,0,0,0
,,0.107534247,0,0,0.224817352,0.224817352,0,0,0.013584475,0,0
,,0.141757991,0,4.57E-05,0,0,0,0,0,0,0
,,0.187511416,0,0,0,0,0,0,0,0.108082192,0
,,0.07086758,0,0.023767123,0,0,0,0.223767123,0.00673516,0,0.041461187
,,0.045730594,0,0,0,0,0,0.029063927,0,0.34783105,0
,,0,0,0,0,0,0,0,0,0.039520548,0.242922374
,,0.066324201,0,0,0,0,0,0.095707763,0,0,0
,,0.050273973,0,0.001849315,0,0,0,0,0,0,0
,,0,0.061027397,0,0,0,0,0,0,0,0
,,0.090273973,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0
,,0.041187215,0,0,0.090821918,0.090821918,0,0,0,0,0
,,0.157808219,0,0.015182648,0,0,0,0,0.005913242,0,0
,,0.045730594,0,0,0,0,0,0,0,0,0
,,0.020593607,0.025388128,0,0,0,0,0.075388128,0,0,0.004315068
,,0.371506849,0.03,0,0,0,0.048127854,0,0,0,0
,,0.164497717,0,0.045159817,0,0,0,0,0,0,0
,,0.358972603,0,0.004383562,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0
,,0.082374429,0,0,0.102260274,0.102260274,0,0,0,0,0
,,0.091484018,0,0,0.180593607,0.180593607,0,0,0.013858447,0,0.034200913
,,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0.006621005,0.045502283,0
,,0.107420091,0.09,0,0,0,0.004794521,0,0,0,0
,,0,0,0.017488584,0,0,0.015479452,0,0,0,0
,,0.116621005,0,0,0,0,0,0.395684932,0,0,0
,,0.041187215,0,0.004794521,0,0,0,0,0,0.019178082,0
,,0.066324201,0,0,0,0,0,0,0,0,0
,,0.047785388,0,0,0,0,0,0,0,0,0
,,0.050273973,0,0,0,0,0,0,0.010091324,0.078630137,0
,,0.025136986,0,0,0,0,0,0,0.013584475,0.005502283,0
,,0.020593607,0,0,0.001461187,0.001461187,0,0,0,0.043561644,0
,,0.050273973,0,0,0.000228311,0.000228311,0,0,0.026392694,0.087146119,0
,,0.07086758,0,0,0,0,0,0,0.016986301,0.007351598,0
,,0.025136986,0.003926941,0,0,0,0,0,0.026210046,0.005388128,0
,,0,0,0.579863014,0,0,0,0,0,0,0
,,0.050273973,0,0,0,0,0,0,0.047899543,0,0
,,0.041073059,0,0.033949772,0,0,0,0,0,0.012671233,0
,,0,0,0,0,0,0,0,0,0.086392694,0
,,0.189908676,0,0,0,0,0,0.009863014,0,0,0
,,0.209018265,0.012374429,4.183378995,0,0,0,0,0,0,0
,,0.041073059,0,0,0,0,0,0,0,0,0
,,0.128013699,0,0,0,0,0,0,0,0,0
,,0.066324201,0,0,0.041073059,0.041073059,0,0,0,0,0
,,0.086917808,0,0.011164384,0,0,0,0,0,0,0
,,0.052465753,0,0.040776256,0,0,0,0,0,0,0
,,0.254771689,0,0,0,0,0,0,0.022305936,0,0
,,0,0,0.009589041,0,0,0,0,0,0,0
,,0.172374429,0.041484018,0,0.321803653,0.321803653,0,0,0,0,0
,,0.090273973,0,0,0.030821918,0.030821918,0,0,0.004086758,0,0
,,0.045730594,0,0.06086758,0,0,0,0,0,0,0
,,0.061666667,0,0.108059361,0,0,0,0.000547945,0,0,0
,,0.098310502,0,0,0,0,0,0.020593607,0,0,0
,,0.157808219,0,0.002351598,0,0,0,0,0.007123288,0,0
,,0.11086758,0,0,0,0,0,0.016894977,0,0,0
,,0.050273973,0.043584475,0,0,0,0.016689498,0.083789954,0,0,0
,,0.091484018,0.023767123,0,0,0,0.105319635,0.013789954,0,0,0.010479452
,,0.050273973,0,0,0.047671233,0.047671233,0,0,0,0,0
,,0.045730594,0,0,0,0,0,0,0,0,0
,,0.061666667,0,0,0,0,0,0,0,0,0
,,0.373401826,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0
,,0.090273973,0,0,0,0,0,0,0.208561644,1.070388128,0.05760274
,,0,0,0,0,0,0,0,0,0.013675799,0
,,0,0.049543379,0,0,0,0,0,0,0.013972603,0
,,0.050273973,0.027146119,0.364611872,0,0,0,0,0,0.036164384,0
,,0,0,0,0,0,0,0,0,0.040365297,0
,,0,0,0,0,0,0,0,0.018333333,0.022671233,0
,,0,0,0,0.052214612,0.052214612,0,0,0.086986301,0.009360731,0
,,0,0,0.080730594,0.034794521,0.034794521,0.332716895,0,0,0.034703196,0
,,0.058310502,0,0.047990868,0,0,0,0,0,0.017968037,0
,,0.010296804,0,0,0.000821918,0.000821918,0.003835616,0,0,0.004657534,0
,,0.010296804,0,0,0.155616438,0.155616438,0,0,0,0.010639269,0
,,0.012557078,0.017465753,0,0,0,0,0,0,0.032716895,0
,,0,0,0,0,0,0,0,0,0.026027397,0
,,0,0,0,0,0,0,0,0,0,0
,,0.041187215,0,0.021917808,0,0,0,0,0,0.011621005,0.009589041
,,0.012557078,0,0.000251142,0,0,0.00303653,0,0,0.105479452,0.244885845
,,0,0,0,0,0,0,0,0.003242009,0.02739726,0.015593607
,,0.319611872,0.02716895,0.01369863,0,0,0,0,0,0,0
,,0,0,0,0.292762557,0.292762557,0,0,0,0,0
,,0.061780822,0,0,0.048584475,0.048584475,0,0,0.090273973,0,0
,,0.025136986,0,0.059246575,0.003059361,0.003059361,0,0,0,0,0
,,0.045730594,0,0,0,0,0,0,0,0,0
,,0.041187215,0,0,0,0,0,0,0,0.047990868,0
,,0.045730594,0,0,0,0,0,0,0.020525114,0.000707763,0
,,0.090273973,0,0,0,0,0.125707763,0,1.85239726,0.034634703,0
,,0,0,0,0.281073059,0.281073059,0,0,0.004383562,0,0
,,0,0,0.068378995,0,0,0,0,0,0.005616438,0.001917808
,,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0
,,0.119954338,0,0,0,0,0.024429224,0,0,0,0
,,0,0,0,0,0,0,0.024520548,0.017351598,0.16196347,0
,,0,0,0,0.033584475,0.033584475,0.045730594,0,0,0.025159817,0
,,0.025136986,0,0,0,0,0,0,0,0.022968037,0
,,0.061780822,0,0,0,0,0,0.042853881,0,0,0
,,0,0,0,0,0,0,0,0,0.072968037,0
,,0.015913242,0,0,0,0,0.018287671,0,0,0.011872146,0.011164384
,,0,0,0.068561644,0,0,0,0,0.024383562,0.035159817,0
,,0,0,0,0.194589041,0.194589041,0,0,0.043356164,0,0
,,0,0,0,0.15716895,0.15716895,0,0,0.013584475,0.015547945,0.100799087
,,0,0,0,0,0,0,0,0,0.058447489,0
,,0.033150685,0,0,0,0,0,0,0,0.017899543,0
,,0.118744292,0,0.082077626,0.112990868,0.112990868,0,0,0.018082192,0.043447489,0
,,0,0,0,0,0,0,0,0,0.031461187,0
,,0.07086758,0,0,0.041643836,0.041643836,0,0.573515982,0.021575342,0,0
,,0.122031963,0,0,0,0,0,0,0,0.138424658,0
,,0.041073059,0.009589041,0,0.009360731,0.009360731,0,0,0,0,0
,,0.061666667,0,0,0,0,0,0,0,0.072328767,0.019200913
,,0.025136986,0,0,0,0,0,0,0.067945205,0,0
,,0,0.055205479,0,0,0,0,0,0.03196347,0,0
,,0,0,0,0,0,0,0,0.622808219,0,0
,,0,0.61,0,0,0,0,0,0.006369863,0.020182648,0
,,0,0,0,0,0,0.056392694,0,2.28E-05,0,0
,,0,0,0.003584475,0.028493151,0.028493151,0,0,0,0,0.0093379
,,0,0,0,0,0,0,0,0,0,0
,,0,0.000456621,0,0,0,0,0,0,0.013584475,0
,,0.022853881,0.00609589,0,0.026598174,0.026598174,0,0.023789954,0,0.066027397,0
,,0,0,0,0,0,0,0.124794521,0,0.079315068,0
,,0,0.005273973,0,0,0,0,0,0,0.02347032,0
,,0.049063927,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0.076872146,0,0.048310502,0
,,0.07086758,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0
,,0.050273973,0.098515982,0,0.012785388,0.012785388,0,0,0,0,0.025205479
,,0,0.336210046,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0.034885845,0,0
,,0.081187215,0.028219178,0,0,0,0,0,0.006484018,0,0
,,0.022853881,0,0,0,0,0,0,0,0.009041096,0
,,0.03543379,0.010776256,0,0,0,0,0,0,0,0.059018265
,,0.066210046,0,0,0,0,0,0,0.008082192,0,0
,,0.066210046,0.007420091,0.346392694,0.259634703,0.259634703,0.052054795,0,0,0.009383562,0
,,0.012557078,0,0,0,0,0,0,4.57E-05,0,0
,,0,0,0,0,0,0,0,0,0.146141553,0
,,0,0,0,0.015981735,0.015981735,0,0,0,0,0
,,0.1393379,0,0,0,0,0.005707763,0,0,0,0.008926941
,,0,0,0,0.046666667,0.046666667,0,0,0,0.183584475,0.121073059
,,0.082260274,0,0,0,0,0,0,0.102260274,0,0
,,0.045730594,0.045981735,0,0,0,0,0,0,0,0
,,0.178424658,0,0,0,0,0,0,0.006141553,0,0
,,0,0,0,0.002808219,0.002808219,0,0,0.007191781,0,0
,,0.022853881,0,0,0,0,0,0,0,0.056392694,0
,,0,0.012579909,0,0,0,0,0,0,0,0
,,0.057123288,0,0,0,0,0,0,0,0,0
,,0.022853881,0,0,0,0,0,0,0,0,0
,,0.137214612,0,0,0.003789954,0.003789954,0,0,0.016986301,0.037054795,0.073127854
,,0.012557078,0,0,0.002671233,0.002671233,0.007922374,0,0,0,0.004931507
,,0,0,0,0,0,0,0,0,0.151210046,0
,,0,0,0.282031963,0.086872146,0.086872146,0,0,0,0.040799087,0.011141553
,,0,0,0.005205479,0,0,0,0,0,0.15,0.004406393
,,0.134634703,0.013607306,0,0,0,0,0,0.532785388,0.007191781,0
,,0.163150685,0,0,0.039497717,0.039497717,0.023767123,0,0,0,0.044383562
,,0.020593607,0,0,0,0,0,0,0,0,0
,,0.041187215,0,0,0,0,0.010296804,0,0,0,0
,,0,0,0.050958904,0.034794521,0.034794521,0,0.779885845,0,0,0.100799087
,,0.041187215,0,0,0,0,0,0,0,0.053150685,0
,,0.188424658,0,0.108310502,0,0,0.022785388,0,0,0,0
,,0.094817352,0,0,0,0,0,0,0,0.025890411,0
,,0.096027397,0,0.021666667,0.949429224,0.949429224,0.020547945,0,0,0,0
,,0.045730594,0,0,0,0,0.027214612,0,0,0,0
,,0.045730594,0,0,0,0,0,0,0,0,0
,,0,0,0.509680365,0,0,0,0,0,0.058789954,0
,,0.097990868,0.010730594,0,0,0,0.001210046,0,4.57E-05,0,0
,,0,0.129109589,0,0.011552511,0.011552511,0,0.355205479,0,0,0
,,0.091484018,0,0,0,0,0,0,0.054360731,0,0
,,0.173858447,0,0.003995434,0,0,0,0,0,0,0
,,0.137214612,0,0,0,0,0,0,0,0.028059361,0
,,0,0,0.003675799,0.020159817,0.020159817,0.009931507,0,0.023767123,0.075593607,0
,,0.049063927,0,0.0556621,0,0,0,0.000456621,0,0,0
,,0.116506849,0,0,0,0,0,0,0,0.027625571,0
,,0.069657534,0,0.029977169,0,0,0,0,0.02716895,0,0
,,0,0,0,0,0,0,0,0,0,0
,,0.172374429,0,0.01739726,0,0,0,0,0,0,0
,,0,0.00760274,0,0,0,0.000639269,0.054041096,0,0,0
,,0.17586758,0,0,0,0,0,0,0,0.007214612,0
,,0.000410959,0,0,0,0,0,0.024520548,0,0,0
,,0,0,0,0,0,0,0.024520548,0,0,0
,,0.041187215,0,0,0,0,0,0,0.024794521,0,0
,,0.086917808,0,0.014406393,0,0,0.024840183,0,0,0,0
,,0.250091324,0,0.081210046,0.036415525,0.036415525,0,0,0,0,0.421803653
,,0.183767123,0,0,0,0,0,0,0,0.015319635,0
,,0,0.035182648,0,0,0,0,0,0,0,0
,,0,0,0,0.065981735,0.065981735,0,0,0,0,0
,,0.180547945,0,0,0,0,0,0,0,0,0.035981735
,,0.03543379,0,0,0,0,0,0,0.047557078,0.056164384,0
,,0.057123288,0,0,0.085479452,0.085479452,0,0,0.237465753,0.007214612,0.016643836
,,2.899292237,0,0,0,0,0.006780822,0,0,0.044109589,0
,,4.65716895,0,0,0,0,0,0,0,0.009634703,0
,,0.020593607,0,0,0.045,0.045,0,0,0,0.05760274,0
,,0.066210046,0,0,0.020593607,0.020593607,0,0,0,0,0.030273973
,,0.020593607,0,0,0,0,0,0,0,0.044748858,0
,,0.07760274,0,0,0,0,0.183493151,0,0.013835616,0.046803653,0.085479452
,,0,0.006369863,0,0,0,0,0,0,0,0
,,0,0.000182648,0,0,0,0,0,0,0,0.014520548
,,0.041187215,0,0,0,0,0,0,2.28E-05,0.036004566,0
,,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0
,,0.123287671,0.012054795,0,0,0,0,0.607283105,0,0,0
,,0.020593607,0,0,0.076986301,0.076986301,0,0,0.009726027,0,0
,,0.150616438,0,0,0.415547945,0.415547945,0,0.004680365,0,0.339178082,0
,,0.015913242,0,0,0,0,0,0,0,0,0
,,0,0.024748858,0,0.020981735,0.020981735,0,0.043219178,0,0,0
,,0.07543379,0.000205479,0,0,0,0,0,0,0.016073059,0
,,0,0,0,0,0,0,0,0,0.046027397,0.064794521
,,0,0,0,0,0,0,0,0.047990868,0.014155251,0
,,0,0,0,0.077305936,0.077305936,0,0,0,0.013242009,0
,,0.085593607,0,0,0,0,0,0,0,0,0
,,0,0,0.011849315,0.03739726,0.03739726,0,0,0.013584475,0.911986301,0
,,0.045730594,0,0,0.250228311,0.250228311,0,0,0.00847032,0,0.00956621
,,0,0.005730594,0,0,0,0.040776256,0,0,0,0
,,0.025136986,0,0,0,0,0.015365297,0,0,0,0
,,0.022853881,0,0,0,0,0.032990868,0,0.030958904,0.056872146,0
,,0,0.071347032,0,0,0,0,0,0.02716895,0.013721461,0
,,0,0,0.002716895,0,0,0,0,0.010182648,0,0
,,0.010296804,0.030479452,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0.265045662,0,0,0,0
,,0.020593607,0,0,0,0,0,0,0,0,0
,,0.256255708,0,0,0.021392694,0.021392694,0,0.309840183,0,0,0
,,0.020593607,0.012899543,0,0,0,0,0,0,0,0
,,0.020593607,0,0,0,0,0,0,0,0,0
,,0.145296804,0,0.04869863,0,0,0,0,0,0,0
,,0,0.015525114,0.01739726,0,0,0,0,0,0,0
,,0,0.094954338,0,0,0,0,0.024520548,0.047260274,0,0
,,0.066210046,0.006164384,0,0,0,0,0,0,0,0
,,0,0,0.004611872,0,0,0,0,0,0,0
,,0,0,0,0.019041096,0.019041096,0,0.005570776,0,0,0
,,0.041073059,0,0.021598174,0,0,0.023767123,0,0,0.011438356,0
,,0,0,0,0.035593607,0.035593607,0,0.003995434,0,0.069520548,0.030273973
,,0,0,0,0,0,0,0,0.018949772,0.016780822,0
,,0.010296804,0.043196347,0,0,0,0,0.025525114,0.000296804,0,0
,,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0.565958904,0
,,0.057123288,0,0,0,0,0,0.010821918,0,0,0
,,0.045730594,0.003584475,0,0,0,0,0,0.076324201,0.026826484,0
,,0.200913242,0,0,0,0,0,0,0,0,0
,,0,0,0,0.053196347,0.053196347,0,0,0,3.479109589,0.01739726
,,0.210525114,0.007990868,0,0,0,0,0,0,0.009771689,0.01739726
,,0,0,0.063835616,0,0,0,0,0,0,0.019634703
,,0.025136986,0,0,0,0,0,0,0,0.006575342,0
,,0.033150685,0,0,0,0,0,0,0,0,0
,,0.086917808,0.212237443,0,0,0,0,0,0,0,0
,,0.066324201,0,0,0,0,0,0,0,0,0
,,0.041187215,0,0,0,0,0,0,0,0.052557078,0
,,0,0,0,0,0,0,0,0.033630137,0,0
,,0,0,0,0,0,0.002283105,0,0,0,0
,,0.012557078,0.000776256,0.047671233,0,0,0,0.010182648,0,0.00803653,0
,,0.012557078,0,0,0,0,0.001369863,0,0,0.025388128,0
,,0.022853881,0,0,0,0,0,0.261004566,0,0,0.641552511
,,0.025136986,0,0,0,0,0,0,0,0.020593607,0
,,0.07890411,0,0,0.131986301,0.131986301,0,0,0,0,0
,,0.188424658,0,0.002899543,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0.012922374,0
,,0,0,0.015319635,0,0,0,0,0,0.000182648,0
,,0,0,0,0,0,0.026598174,0,0.019863014,0.020593607,0
,,0.020593607,0.008789954,0,0.30130137,0.30130137,0,0,0.019406393,0.035228311,0
,,0,0,0,3.049771689,3.049771689,0,0,0,0.003150685,0
,,0,0.047990868,0,0,0,0,0,0,0.065136986,0
,,0,0.010456621,0,0.020388128,0.020388128,0,0,0.005228311,0,0
,,0.041073059,0.003995434,0,0.057534247,0.057534247,0,0,0,0.044452055,0
,,0.045730594,0.001232877,0,0,0,0,0.825890411,0,0,0.002237443
,,0,0.009041096,0,0,0,0.089748858,0,0,0.181506849,0
,,0.07086758,0,0,0.026484018,0.026484018,0,0.039497717,0,0,0
,,0.16783105,0,0.005958904,0,0,0,0,0,0.015913242,0
,,0,0,0,0.028812785,0.028812785,0.018105023,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0.01739726
,,0,0,0,0.84173516,0.84173516,0,0,0,0,0
,,0.155273973,0,0,9.13E-05,9.13E-05,0.022785388,0,0,0.012511416,0
,,0,0.273082192,0,0,0,0,0,0,0,0
,,0.020593607,0,0,0.012077626,0.012077626,0.037374429,0.091712329,0,0,0
,,0.061666667,0,0.003310502,0,0,0,0,0,0,0
,,0.020593607,0,0,0,0,0.003767123,0.010296804,0.020319635,0,0
,,0.020593607,0,0,0,0,0,0,0.000547945,0.01347032,0.035753425
,,0.025136986,0,0,0,0,0,0,0,0.234246575,0
,,0,0,0.021027397,0,0,0,0,0,0,0
,,0.066324201,0,0,0,0,0,0,0.021164384,0.014292237,0
,,0.03652968,0,0,0,0,0,0,0.032077626,0.011826484,0.009611872
,,0.015913242,0,0,0,0,0.125707763,0,0,0,0
,,0.020593607,0,0,0,0,0,0,0,0.030273973,0
,,0.007945205,0,0.01,0,0,0.001255708,0,0,0,0
,,0,0.027694064,0,0,0,0,0,0.011712329,0,0
,,0,0,0,0,0,0,0,0,0,0
,,0.121415525,0,0,0,0,0,0,0.016643836,0.015456621,0
,,0,0.188789954,0,0,0,0.030182648,0.101232877,0,0.003744292,0
,,0.022853881,0.009474886,0,0,0,0,0,0,0,0.003515982
,,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0
,,0.025136986,0,0,0.076689498,0.076689498,0,0,0.025707763,0.184543379,0
,,0.000136986,0,0,0,0,0,0,0.02239726,0,0
,,0,0.183789954,0,0,0,0.004908676,0.024520548,0,0.109474886,0
,,0.061666667,0,0,0,0,0,0,0,0,0
,,0.196369863,0,0,0,0,0,0,0,0.021598174,0
,,0.121164384,0,0,0,0,0.03630137,0,0,0.067899543,0
,,0,0,0,0,0,0,0,0.084931507,0,0.009109589
,,0,0,0,0,0,0,0,0,0,0
,,0,0,0.003926941,0.023926941,0.023926941,0,0,0,0,0
,,0,0,0,0.027191781,0.027191781,0,0.155296804,0,0,0
