Program Name,Simulation,"Total ""True"" Mitigated Emissions (Kg Methane)","Total ""True"" Emissions (Kg Methane)","Total ""Estimated"" Emissions (Kg Methane)","Total ""True"" Mitigable Emissions (Kg Methane)","Total ""True"" Non-Mitigable Emissions (Kg Methane)","Average ""True"" Emissions Rate (g/s)","95th Percentile ""True"" Emissions Rate (g/s)","5th Percentile ""True"" Emissions Rate (g/s)","Average ""True"" Emissions Amount (Kg Methane)","95th Percentile ""True"" Emissions Amount (Kg Methane)","5th Percentile ""True"" Emissions Amount (Kg Methane)","Year 2022 ""True"" Mitigated Emissions (Kg Methane)","Year 2022 ""True"" Emissions (Kg Methane)","Year 2022 ""Estimated"" Emissions (Kg Methane)"
P_OGI,2,63020.052063504,339008.5059538464,0.0,228080.8689078816,110927.6370459648,0.032508221805812414,0.095690057,0.002586218,447.83157985977067,1893.061741593598,12.55784701824,63015.60876304964,291467.07252566156,61163.33766324473
P_OGI,3,48273.2977578336,317582.66858535353,0.0,187449.7576442688,130132.91094108483,0.03255991327507163,0.095690057,0.002586218,454.98949654062113,1862.2816133112,12.010396392,48273.2977578336,270610.20311636414,77262.18308409603
P_OGI,4,43574.1607829952,318861.505507968,0.0,195757.8229080288,123103.68259993922,0.029783937676165804,0.095690057,0.002586218,413.0330382227565,1595.2709703542362,12.893018490720005,43574.160782995204,156966.8101156956,44057.63012708165
P_stationary,0,143071.40318837762,246325.60795314243,0.0,143424.6763567392,102900.9315964032,0.03192469714721485,0.095690057,0.002586218,326.69178773626317,935.8053065568,12.982400435520002,122063.92550687864,130756.50570170138,10761.5375172864
P_stationary,1,82827.2606776704,265773.4732324224,0.0,140142.2073318432,125631.26590057921,0.031053877128491617,0.10344871,0.002586218,371.1920017212603,1152.7744955327971,14.9710987584,65168.5881371257,141793.36774026894,13345.690442832
P_stationary,2,139108.0844909664,262442.51565860165,0.0,151514.87861263682,110927.6370459648,0.032508221805812414,0.095690057,0.002586218,346.68760324782255,953.5024842739198,11.798117821440004,119383.36475664597,215982.9352122964,11753.4658164336
P_stationary,3,105015.9910713408,260496.3103817184,0.0,130363.3994406336,130132.91094108483,0.03255991327507163,0.095690057,0.002586218,373.20388306836446,1417.8969886032,12.5131553568,86461.19480208203,212845.4091905113,13996.598006822402
P_stationary,4,97378.049984112,264792.60553947836,0.0,141688.9229395392,123103.68259993922,0.029783937676165797,0.095690057,0.002586218,342.9956030304124,974.6966423145587,12.893018490720005,80949.09245448968,137535.78212338666,12655.522843620483
P_truck,0,72989.23872297599,316739.37105144,0.0,213838.4394550368,102900.9315964032,0.03192469714721485,0.095690057,0.002586218,420.07874144753316,1687.901836623838,12.982400435520002,72981.01889176754,154870.2952207629,96789.40984690556
P_truck,1,42321.2810274144,306584.4610591776,0.0,180953.1951585984,125631.26590057921,0.031053877128491617,0.10344871,0.002586218,428.19058807147707,1688.2481928441512,14.9710987584,42321.28102741439,151441.73341488797,121767.60577080959
P_truck,2,79698.30137835842,322348.13257608004,0.0,211420.4955301152,110927.6370459648,0.032508221805812414,0.095690057,0.002586218,425.82316060248354,1694.8622895839962,12.55784701824,79670.07144942005,277582.1106900547,102983.868980928
P_truck,3,53269.622182915205,312586.34416027204,0.0,182453.43321918722,130132.91094108483,0.03255991327507163,0.095690057,0.002586218,447.8314386250316,1840.8304875528002,12.010396392,53269.62218291521,266505.1667838672,131419.94136318724
P_truck,4,49710.299630688,312739.6674099456,0.0,189635.9848100064,123103.68259993922,0.029783937676165804,0.095690057,0.002586218,405.1031961268726,1577.62965544704,12.893018490720005,49710.299630688,152593.41762162247,100470.77290120324
